Reference	SN	Value	Footprint	
U1	SN74LS32DBR	74LS32	Housings_SSOP:SSOP-14_5.3x6.2mm_Pitch0.65mm	
U2	SN74HC02DBR	74HC02	Housings_SSOP:SSOP-14_5.3x6.2mm_Pitch0.65mm	
U3	---	ESP-01v090	ESP8266:ESP-01	
U4	MCP1825S-3302E/DB	LT1129CST-3.3	SOT-223	
P1	---	CONN_01X06	Pin_Headers:Pin_Header_Straight_1x06	
P2	---	CONN_01X02	Pin_Headers:Pin_Header_Straight_1x02	
P3	---	CONN_01X02	Pin_Headers:Pin_Header_Straight_1x02	
C1	F930J476MAA	40uF	Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5	
R1	---	1K	Resistors_SMD:R_1206_HandSoldering	
R3	---	1K	Resistors_SMD:R_1206_HandSoldering	
R2	---	1K	Resistors_SMD:R_1206_HandSoldering	
R4	---	1K	Resistors_SMD:R_1206_HandSoldering	




